KB Number,Title,Audience,KB Category (ServiceNow),Covers master ticket,Mapping confidence,Search text,Notes
KB0020212,Titan Slowness Issue,L1,Titan,,Unmapped,"Titan Slowness Issue Application / Service Titan Details Titan Slowness Issue Please follow the steps given below to clear cache and cookies from your Edge Browser : 1. Open Internet Explorer and select the tools icon. From the drop-down menu, select Safety and then Delete browsing history. 2. Uncheck the Preserve Favorites website data. Check both Temporary Internet Files and Cookies. Then click Delete. 3. Once you have cleared the cache successfully, you will get the information displayed below. 4. Close your Internet browser and open it again. Please follow the steps given below to clear cache and cookies from your CHROME Web Browser : To enable your browser to function more efficiently, you should clear your web browser's cookies, cache, and history. 1. First open Chrome. On the browser toolbar, click on more . Next, select More Tools and click on Clear Browsing Data. 2. In the Clear browsing data box, select the checkboxes for Cookies and other site data and Cached images and files. 3. Use the menu at the top to select the amount of data that you want to delete. Select beginning of time to delete everything and lastly select Clear Browsing Data. 4. Close your Internet browser",
KB0036916,What is the Meeting Room Cancellation and Global Policies,Customer Support,Products & Services,,Unmapped,"What is the Meeting Room Cancellation and Global Policies Cancellation Policy Meeting rooms If a customer wishes to cancel their meeting room booking the policy is: If the room is a 1-10 workstation room Full refund when the cancellation is made 10 days or more in advance of the event date. 50% refund when the cancellation is made 5 - 9 days in advance of the event date. No refund will be given for less than 5 days' notice, if the room size is 10 or less workstations. If the room is a 11-20 workstation room Full refund when the cancellation is made 20 days or more in advance of the event date. 50% refund when the cancellation is made 10 - 19 days in advance of the event date. No refund will be given for less than 10 days prior to the event date, when the room size is 11 or more workstations. If the room is a 21+ workstation room Full refund only when the cancellation is made 20 days or more in advance of the event date. No refund will be given for less than 20 days, when the room size is greater than 21 workstations. If a cancellation is made within 2 hours of the booking creation, cancellation fee is zero. However, this policy does not apply for same day bookings. Day offices For",
KB0026331,Customer has been charged while booking,L1,Customer Portal (MyRegus),[Bookings (Products) - Short Stay] Customer has been charged while booking,Medium,"Customer has been charged while booking Application / Service Customer Portal Details 1) Check when agreements starts - User will be able to use membership with all benefits after agreement starts Example: User will be able to use this membership with all benefits under it on 1st January 2024 like agreement says: 2) If agreement didn't start at the beginning of the month Free visits are pro-rated and since this agreement did not start at the beginning of the month user got only 4 free visits. You can find additional details in in IWG academy by following this link - Thrive Learner App Also attaching screenshot showing that customer had 4 free visits in May 3) Check if customer is the one with free visits Example : There are two contacts with the same first and last name, under this company 12737852 4) When free visit will be returned If user terminated booking max. 2 hours after creation - then free visit will be returned. The contact with the email requester provided in description is debbie@dakspublishinginc.com , but that contact has Member membership without any free visit as a benefit. Tell them to login with debbies@dakspub.com if they want to get free visit. Check if custome",
KB0028682,Alternative Login methods for clients myregus account,L1,Customer Portal (MyRegus),,Unmapped,"Alternative Login methods for clients myregus account If a customer is having trouble logging in to MyRegus because the verification code is not being delivered to their email or phone, there are several alternative options available to help them access their account. What to Do When Verification Code is Not Delivered - 1. Preferred Verification is Email : If the user's verification method is set to email: After entering their email and clicking Continue, they'll be taken to the ""Verification by email"" screen. If they do not receive the code by email, they can click the link: ""Follow this link to send the code to your phone ending with XXXX"" This allows them to receive the code via their registered mobile number instead. 2. Preferred Verification is Phone Number : If the user's verification method is set to phone: After entering their email and clicking Continue, they'll be taken to a screen asking for the code sent by SMS. If they do not receive the code on their phone, they can click the link: ""Follow this link to send the code to your email address XXXX"" This allows the user to receive the code via their email instead. 3. Authenticator App (if previously set up) : If the custome",
KB0020819,Why replay OSA is failing with A booking already exists for the Pivotal Reference: PRT10512768 while some inventories are not yet booked,L1,Titan,,Unmapped,"Why replay OSA is failing with A booking already exists for the Pivotal Reference: PRT10512768 while some inventories are not yet booked This applies to bookings with multiple inventories/rooms. Note that PRT10512768 is the Pivotal reference for a Sale, not an individual room booking. Replay OSA can only be used if all the rooms are failed not partly successful. This is as designed for now and this needs to be changed that it should be approved by Business and result into BS.",
KB0027487,"""Engage Account Helpdesk""  option not available",L1,Team Hub,,Unmapped,"""Engage Account Helpdesk"" option not available Application / Service TeamHub Details The centre management application has an ""Engage Account Helpdesk' option that allows a centre team member working on a ticket ('Centre Task') to transfer it to the Account Helpdesk. This button will no longer be available starting February 18th 2025 as part of ENHANCE-963. Additional Information",
KB0021151,Replay OSA error: Unable to rollback previous booking. Reason - ChildTerminated,L1,Service Desk SOP,,Unmapped,"Replay OSA error: Unable to rollback previous booking. Reason - ChildTerminated Application / Service OSA Details Replay OSA error: Unable to rollback previous booking. Reason - ChildTerminated Issue: replay OSA shows error like below for renewal: Unable to rollback previous booking. Reason - ChildTerminated Steps: When you see this message as Child terminated , we need to go to their bookings and see if the renewal is already terminated. So go to booking tab in this case on 5th June the latest renewal is terminated and on 20th June , they tried to do Amend Renewal without rolling back the termination , hence the failure. Please as them to Rollback the termination of Booking - 134133968 and then replay the OSA.",
KB0032214,Unable to Calculate Total Price Team Hub,End User,Process Enquiry,,Unmapped,"Unable to Calculate Total Price Team Hub Summary This article explains what to do when TeamHub shows the error "" Unable to calculate total price ."" Purpose To help centre teams resolve this pricing error by following basic checks and escalating the issue to the correct support team when needed. Self-Help First (Try These Steps Before Raising a Ticket) Refresh the page and try again. Check if the issue happens in multiple centres or only one centre . Confirm that the centre is fully configured in Titan . If the issue continues after these checks, proceed with the escalation steps below. Helpful Learning (IWG Academy) How to Raise a GSC Request https://iwg.learn.link/search/content?phrase=GSC&page=1&sortType=relevant TeamHub Overview https://iwg.learn.link/content/5fc0a23edb2321001018fbca How to Raise a Ticket Option 1 - Email GSC Titan Support 📧 GSC.TitanSupport@regus.com Include the following details: Centre code Full description of the error Steps already attempted Option 2 - Raise a Titan Ticket Through TeamHub 🔗 https://iwgprod.service-now.com/sp?id=sc_cat_item&sys_id=075f5a0b87ccc950ed48620c8bbb35b8&sysparm_category=9bdfd40287cf7410a310baaabbbb35c0 What You Can Request You may",
KB0029393,Customer Portal | Invoice are not issued with corrected Company Name,L2,Customer Portal (MyRegus),,Unmapped,"Customer Portal | Invoice are not issued with corrected Company Name Introduction: Clients may report that their updated company's business name& it is not reflected on invoices or in the MyRegus Portal after submitting multiple change requests. In this case, the client reissued invoices several times, but the old name continued to appear. The root cause is that the company name was updated multiple times within a short period When the invoice was reissued at point in time the active company name was the one which embedded on the re-issued invoice so the invoice correctly reflected that name. The system works as designed - invoices display the company name that is active at the time of reissue. If the client wants the latest name to appear, they must reissue the invoice again after the name change is finalized. Instruction Step‑by‑Step on How to Troubleshoot Such Situation: Check Company Name Change History Review the timeline of company name updates in the portal. [Check Company History in Titan PR DB] [table: history.company] & [table: dbo.Invoice] Identify how many changes were made and when. Verify Active Company Name at Time of Invoice Reissue Confirm which company name was ac",
KB0020894,Escalation for ACA and Nayax,L1,Service Desk SOP,,Unmapped,"Escalation for ACA and Nayax Queries and issues that have not been solved by Centre Teams, IT Helpdesk or Application Team will be escalated to ACA, Nayax, Canon, HP and ATP support teams. To escalate internally within IWG, contact Kim Kagahastian Kim.Kagahastian@iwgplc.com for support queries and Joao Tinoco Joao.Tinoco@iwgplc.com for service/business queries. 1.1 ACA When should I escalate an IT Ticket? If you have no response from IT Support, 48 hours after raising the IT ticket. How do I escalate an IT Ticket? 1. Forward your IT ticket to IT.Escalation@regus.com 2. Include your ticket number in the subject heading. For example, Incident #123456 Request Email User Account. 3. Your escalation should be responded to in 24 hours . If no ticket number is indicated, your escalation will not be responded to. Find more details on IT escalation process in the following IWG Academy link: https://iwg.learn.link/content/5f9048d3ad634100100c9f38 1.2 Nayax To escalate issues to Nayax, send an email to support@nayax.com for global support or contact local Nayax. View details in the table below: Nayax current contract and SLA's can be found in the following documents: 1.1 Printers To escalate",
KB0028780,CMR button missing on Customer Portals,L1,Customer Portal (MyRegus),,Unmapped,"CMR button missing on Customer Portals In cases where users are complaining that no CMR button is visible on Customer Portals and/or they are unable to make bookings for CMR, you can check 2 things. First, check if they have active LTO. Second, please check if the inventory is configured for it. On Titan UI open Inventory Admin (Admin > Inventory Admin). Select correct Centre and type of inventory. CMRs are configured usually with MR inventory and there is an option to enable an MR inventory as CMR too: Also make sure to check the Availability table. Make sure that the Inventory is currently available by checking the Date and Status in the Availability table. If a Centre does not have CMR inventory configured, Customer Portal will not show it for bookings either per design. Also confirm, Book on website checkbox is enabled.",
KB0028561,How to check Open Hours of a Centre,L1,Customer Portal (MyRegus),,Unmapped,How to check Open Hours of a Centre,EMPTY BODY in source export
KB0032234,Unable to select OPS centers on Team Hub,End User,Process Enquiry,,Unmapped,"Unable to select OPS centers on Team Hub Instructions Team Hub was designed to specifically not to be able to select OPS centers. You can conduct check-in Lounge where company could be found by Company Name, Contact Name (First name & Last name) and Membership card number. Membership card number is available under Account tab in MyRegus portal: Note : You can now search for Membership Customers in TeamHub. Simply go to TeamHub > Company > Select Company ( Global Search ) and enter the Membership Customer's account number.",
KB0028862,How to activate Call Answering from CP for VO,L1,Customer Portal (MyRegus),,Unmapped,How to activate Call Answering from CP for VO,EMPTY BODY in source export
KB0029162,Linking clients accounts in Customer Portals,L1,Customer Portal (MyRegus),,Unmapped,"Linking clients accounts in Customer Portals Application / Service Customer Portals Description Linking accounts in Customer Portals Instructions 1.Login to CP 2.Click on the dropdown menu to switch profile 3.Click on Manage company account 4. Click on Add new company account 5. Join existing account 6. Fill out needed information and click on Next After the steps above, invitation for the contact to join existing account will be sent. Last step is to log in to the new account (as staff) and accept the invite under Team > Access Requests Once all steps are completed, account will be linked. Additional Information",
KB0021152,Autopayment didn't work,L1,Team Hub,,Unmapped,"Autopayment didn't work Application / Service Titan Description Autopayment didn't work Steps to check: The auto payment did not happen, because the company was excluded from autopayment until the 4th of April 2023. See the screenshot below, the company profile edition shows that the Exclude from Automatic Card Payment checkbox was enabled for that moment.",
KB0019175,Meeting Room/Day Office client was not auto checked out,L1,Team Hub,,Unmapped,"Meeting Room/Day Office client was not auto checked out If a booking did not check out by the user, Titan jobs work and check these kind of bookings in order to apply auto check out rules to invoicing them daily basis. Please confirm on Titan UI that the booking is checked out. Note: User are notified on the CDR of not checked out bookings > issue is with Titan. Both reports and automatic check-out are tasks happening on Titan and this will need investigation from their side.",
KB0020698,My TEAMHUB function do not work after login,L1,Service Desk SOP,,Unmapped,"My TEAMHUB function do not work after login Application / Service TeamHub Details Some Users from CHINA cant access Team Hub and when they do the app is not working at all. Most comment root cause : Traffic to Team Hub API not working through local internet breakout and rerouted to HK DC. Solution : Incident should be redirected to ""IT Network"" team under Fernando Escribano.",
KB0026180,Services not visible on Customer Portal,L1,Customer Portal (MyRegus),,Unmapped,Services not visible on Customer Portal Application / Service Customer Portal Issue Symptoms / Error User added service but it's still not visible on Customer Portal Resolution Check the following: 1. Login to Titan and find the company 2. Go to Services > Recurring Sales 3. Find the service use is complaining about In case the service they are unable to see is under Direct Customer Sale it is not visible in CP per design. For example: Additional Information,
KB0020751,"Agreement signed, confirmation email not received",L1,Titan,,Unmapped,"Agreement signed, confirmation email not received Application / Service Titan Description Agreement signed, confirmation email not received Instructions Agreement signed, confirmation email not received check the OSA ref in Replay OSA as shown above click on view link to see the error message if error message says: The exact membership usage, location, and region have already been submitted for this customer . it means that customer already has a Membership of same type and same usage if you search by company name - ACTUARIAL AND RISK CONSULTING (T) LIMITED, you will find out 7 results returned and one account for co-working membership, account 12673778, created on July 19th with the same contact listed on OSA - Sadi Shemliwa who has membership card and valid membership. see below so you can’t have another membership of the same type for the same contact. so you can’t have another membership of the same type for the same contact.",
KB0020732,OSA not appeared to be signed,L1,Titan,,Unmapped,"OSA not appeared to be signed Application / Service Titan Details OSA not appeared to be signed, please ask the customer to enter cc card details and proceed to accept agreement. Please be advised the there is a pre-authorization process in setting up the credit card as payment method. Once the customer provided the CC details on the OSA, the system will pre-authorize the amount equivalent to 1 month membership fee as verification process for the validity of the card and if it is properly setup. This amount will be allocated once the invoice is generated. To generate the invoice, the customer must click the “ACCEPT” button on the OSA to complete the OSA process. Once the OSA is accepted/confirmed by customer, the agreement details will interface into system and will generate invoice. Then, the pre-authorize amount will be allocated to the initial invoice. Please explain to customer how the system works and request the customer to complete the OSA journey by accepting the OSA to get the agreement loaded and to generate the invoice. L1 to inform the user to complete the OSA journey.",
KB0027993,Titan/CustomerPortal | Agreement issue | Request to provide agreement document for the VO/ agreement not generated for renewal,L1,Titan,,Unmapped,"Titan/CustomerPortal | Agreement issue | Request to provide agreement document for the VO/ agreement not generated for renewal Application / Service Titan | Customer Portal Details Issue : Agreement is not generated for the VO Booking Case 1: Client signed up to a VO and has no agreement Synopsis: Reason for why no OSA was provided for the VO: If a client purchases an agreement from E-commerce Regus it will not create an OSA link/agreement (just a booking will be placed) The agreement have a pivotal reference which starts with ""N-"" meaning purchased via E-commerce. Only the agreement issued by Centre via SalesHub will provide an OSA. For the purchase made via E-commerce client will be provided with a confirmation of the purchase on an email. Screenshot for illustration: Additionally digital agreement cannot be issued from IT Team end for this type of VO. Centre Team can refer this case to City Manager to come an arrangement and action it accordingly (maybe by providing them with a paper signed contract as proof) Case 2: OSA is not available for the renewal booking Synopsis: Reason: For any booking which was renewed automatically by the system no OSA will be generated as it is all p",
KB0029184,How to resolve INT-AR-013/Error code: 996-999-14-14-14-14-14-14-,L2,Dynamics F&O,,Unmapped,"How to resolve INT-AR-013/Error code: 996-999-14-14-14-14-14-14- Application/Service Dynamics F&O Description How to resolve INT-AR-013/Error code: 996-999-14-14-14-14-14-14- Error Text: "" Error while posting journal JNB000000745 for transaction id - US990074-369380-1003., Error while posting journal JNB000000745 for transaction id - US990074-369380-1003., ,Number of vouchers posted to the journal: 71,Caught: System exception.,Account has been reconciled,Posting results for journal batch number JNB000000745/Voucher CBBKRC000005446_99US/Voucher CBBKRC000005446_99US/Only users in user group GL Team can post in module Ledger in the period containing the date 6/3/2025,Posting results for journal batch number JNB000000745/Voucher CBBKRC000005460_99US/Voucher CBBKRC000005460_99US/Only users in user group GL Team can post in module Ledger in the period containing the date 6/3/2025,Posting results for journal batch number JNB000000745/Voucher CBBKRC000005465_99US/Voucher CBBKRC000005465_99US/Only users in user group GL Team can post in module Ledger in the period containing the date 6/3/2025,Posting results for journal batch number JNB000000745/Posting has been canceled."" Root Cause: Openi",
KB0029287,Proof of Payment Button Greyed out on Myregus,End User,Knowledge,,Unmapped,"Proof of Payment Button Greyed out on Myregus Overview A new system change has been implemented in the Customer Portal (Staff Mode) that removes Centre Staff's ability to upload financial documentation (Proof of Payment) on behalf of customers. Centre Staff will now have view-only access to financial documentation that has already been uploaded by customers. All new uploads must be completed by the customer themselves via Customer Mode. This change ensures financial compliance, data ownership, and accountability by requiring customers to submit their own financial documents. What Has Changed What Centre Staff Can No Longer Do Upload Proof of Payment or any other financial documentation on behalf of a customer Submit financial documents using the Customer Portal while logged in as Staff Mode What Centre Staff Can Still Do View financial documentation already uploaded by the customer Navigate to the Billing and Payments sections for reference and support purposes Guide customers on how and where to upload documents themselves",
KB0028821,How to Monitor INT-AR-013 in Dynamics F&O.,L2,Dynamics F&O,,Unmapped,How to Monitor INT-AR-013 in Dynamics F&O.,
KB0033002,Why notification emails were not sent out to some clients?,Customer Support,Accounts & Companies,,Unmapped,Why notification emails were not sent out to some clients? Application / Service Titan Issue Symptoms / Errors Notification Emails were not sent out to clients Cause Titan sends the termination courtesy emails for all cases except Contract Breach. Resolution Why notification emails were sent out to clients when terminated using the reason Internal Process - Administrative Reason: Booking Correction This is as designed. Titan sends the termination courtesy emails for all cases except Contract Breach.,
KB0020633,Lounge check in scenario,L1,Service Desk SOP,,Unmapped,Lounge check in scenario Application / Service TeamHub Details When Spaces-branded customers visit Regus / HQ/ Signature centres they should NOT incur charges. If a charge is generated then an IT incident ticket must be raised to be investigated as a system bug.,
KB0029369,Production monitoring for TeamHub and Customer Portal,L2,Customer Portal (MyRegus),,Unmapped,"Production monitoring for TeamHub and Customer Portal Knowledge Base Article Monitoring Rounds: Team Hub and Customer Portal 1. Overview Monitoring rounds are performed twice per shift - once in the afternoon and once at night to cover any gap since the previous round. The default lookback window is 4 hours, adjusted based on when the last round was completed. Note: The recommended practice is to always share screenshots even when everything is healthy - this creates an auditable trail proving everything was checked. 2. TeamHub monitoring TeamHub has three checks per round: KPIs, availability, and alerts. Step 1 - KPI dashboard Open the TeamHub KPI workbook and set the time range to 4 hours (adjust to match the gap since the last round). Scan for any KPIs shown in red. Copy the KPI summary using the auto-populate tool or fill in manually: date, shift period, and time label (e.g. ""afternoon""). For each red KPI, open the Failures view (use the ""Failures"" / ""Pillars"" tab - faster than the previous approach). Note the endpoint and HTTP status code. Navigate to App Insights, copy the direct link for the failing endpoint, and paste it into the report so others (e.g. Mersim) can investiga",
KB0027905,How can the customer contact the Account Helpdesk and can the Community Team do this for them?,Customer Support,Accounts & Companies,,Unmapped,"How can the customer contact the Account Helpdesk and can the Community Team do this for them? How to Own and Resolve Customer Billing and Agreement Queries Summary This article guides you in confidently managing customer billing, invoicing, payment, and agreement queries directly at the community level. Purpose Delivering a premium customer experience begins with clarity-your customers should know that you are their key point of contact for billing and agreement matters. This article ensures you are equipped to address common issues promptly, resolve queries using available tools, and escalate only when necessary. Self-Help First Before raising a request or escalating, try the following steps: Use the customer's online account to review invoices and statements together. Refer to the Help Sheets and Guides available on the IWG Academy for answers to common questions. Utilize the Help Tab in the customer's online account to submit or assist with queries. Access the Staff Mode if submitting on behalf of a customer. IWG Academy Links [Customer Help Sheet] - https://iwg.learn.link/content/607434114501a40012a9e0ea [Centre Help Guide] - https://iwg.learn.link/content/61d70252a013db0012de",
KB0019680,Customer portal- Not showing Balance in myregus portal,L1,Service Desk SOP,,Unmapped,"Customer portal- Not showing Balance in myregus portal Application / Service Customer Portals Details Countries that are not PSP (Payment Service Provider) enabled will face this issue. A list of centers that currently have PSP disabled is attached in this KB as well as the SQL query that will return them from the Titan database. You will also find steps on how to check the HCC flag for a customer centre (to confirm whether a customer can register a payment card), in the Titan database and/or on Customer Portal website using ""inspect element"" If you want to find non psp centers, you can use following query select c.CentreName, c.CentreID, c.CentreNumber, country.CountryName, country.CountryID from CentreConfig cc join Centre c on c.CentreID = cc.CentreID join Country country on country.CountryID = c.CountryID where ISNULL(cc.PaymentProviderID, 0) <= 0 and ISNULL(cc.PaymentProviderGoLiveDate, '01 Jan 2078') > getdate() and c.IsCurrentVersion = 1 and cc.IsCurrentVersion = 1 and c.IsWebBookable = 1 order by country.CountryName Important terms: &middot;PSP enabled country = Country that accepts adding of payment methods (e.g. United Kingdom, United States of America, Italy etc.) &middo",
KB0026991,"To be deleted, duplicate",L1,Dynamics F&O,,Unmapped,"To be deleted, duplicate Application / Service Power Automate / Dynamics Finance and Operations (Dynamics F&O) Description Power Automate processes are used to retrieve all adds, moves, or changes of IWG employees from Proton/Service Bus. These updates are used to create or amend the corresponding worker records in Dynamics F&O. This ensures that employees are available in the system for Purchase Order (PO) and invoice approval workflows. However, during this process, some employee data may not be processed correctly in the automation flow, therefore t he worker is unavailable in Dynamics F&O, preventing their participation in other workflows related with P urchase Order approvals in Dynamics F&O and A ccounts Payable invoice processing. Below is a list of the most frequent errors encountered, and how to proceed to fix them. Instructions Error message Root cause Fix ProGlDerivedDimImportOrg |Centre_number| No record found. Centre does not exist in F&O Contact with Finance System Admin Managers to confirm Centre set-up or reassignment of employees Manager's position not found Worker's line manager not created yet or worker's company is wrong. Contact with Finance System Admin Manage",
KB0022942,How to raise Jira MST from ServiceNow,L1,Service Desk SOP,,Unmapped,"How to raise Jira MST from ServiceNow Application / Service All Applications Details How to raise Jira MST from ServiceNow - Edit the description of the incident, add all the related information in the description in a sequential manner. Add Company ID, Email address, and other information related to the issue. Change the Service Offering, categories and subcategories of the incident with respect to the description of the issue. NOTE: L1 to ensure that the ticket is under the correct Service Offering, as this will reflect as the 'component' in MST. As a guide, the MST should be created on the system where the issue started/observed or manifested. The L2 team handling the MST will raise the needed investigation task to the corresponding system where it will be fixed. This also applies for internal tickets (MSTs that have no corresponding ServiceNow ticket but will need investigation input by other systems/team), and internal tickets should have 'Internal' in the MST 'Label' field. Example: if issue is observed in Dynamics F&O, to ensure it is under Dynamics F&O Service Offering flowing into the correct component. If DF&O team needs to have it fixed in Titan, to create a Titan invest",
KB0010918,TeamHub Device Types Personal Device VS Shared Device,L1,Team Hub,,Unmapped,"TeamHub Device Types Personal Device VS Shared Device Application / Service Team Hub Details There are two device types available to access TeamHub, we have personal device and shared device. Choose the personal device option if nobody else has access to your device. On this option, your user account information may persist when the TeamHub app is closed and then re-opened (no need to re-login) Choose the shared device option if more than one person is using your device. Using the shared device option is using a different flow. The user and session data is not stored in the local database and will be cleared automatically when the app is closed or is inactive for a short period of time. 1/2",
KB0019519,Titan Account Creation/Enabling,L1,Service Desk SOP,,Unmapped,Titan Account Creation/Enabling Our Identity Access Management (MIM) platform automatically create the Titan account based on Job Title (jobcodedescriptions). Please contact HR team and ask them to change the Job Title (jobcodedescription) in PSHR portal to the correct one from the attached Excel sheet. Once the Job Title changed in PSHR portal titan account will be automatically created. Please access the below link to raise the incident to HR team. https://iwgprod.service-now.com/sp?id=sc_cat_item&sys_id=526c8ed3871d4110ed48620c8bbb35d7&sysparm_category=45a03205870b0150ed48620c8bbb354c,
KB0027210,Balance mismatch in Titan SOA,L2,Titan,,Unmapped,"Balance mismatch in Titan SOA Application / Service Titan Issue Symptoms / Error The mismatch balance is due to transactions from 2013-2014 are not included in TITAN SOA. Resolution The Opening balance date is Jan 01,2015, so from system perspective this should work As Designed. Finance Team can help with balance reconciliation. Additional Information Reference tickets: MST (JIRA): MST-57511",
KB0019518,Titan Account Creation,L1,Service Desk SOP,,Unmapped,Titan Account Creation Application / Service Titan Details Our Identity Access Management (MIM) platform automatically create the Titan account based on Job Title (jobcodedescriptions). Please contact HR team and ask them to change the Job Title (jobcodedescription) in PSHR portal to the correct one from the attached Excel sheet. Once the Job Title changed in PSHR portal titan account will be automatically created. Please access the below link to raise the incident to HR team. https://iwgprod.service-now.com/sp?id=sc_cat_item&sys_id=526c8ed3871d4110ed48620c8bbb35d7&sysparm_category=45a03205870b0150ed48620c8bbb354c,
