Master ID,Master Name,Category,MST Tag,Symptom keywords,Context required,Known JIRA,Defect fixed?,KBA,Status,Notes
M023,"[Login] Customer logs in and gets message ""Something went wrong. Please try again later.""",Login,MST - 001-25,something went wrong please try again later; something went wrong. please try again later; something went wrong try again later,log in; login; logging in; log-in; sign in; signin; logs in; logged in; cannot log; unable to log,,,KB0029395,Active,
M024,[Login] Duplicate account getting created while logging in to myregus,Login,MST-71209,duplicate account; duplicate account created; duplicate account getting created,,,,,Active,
M025,[Login] Error while logging in to Myregus staff mode (different issues encountered),Login,MST-70822,staff mode; myregus staff mode; error staff mode; staff login; staff login issue; staff mode login; unable to access myregus and teamhub; myregus portal and teamhub are not working,log in; login; logging in; log-in; sign in; signin; logs in; logged in; cannot log; unable to log,,,KB0032223,Active,
M026,[Login] Internal Server error while logging in,Login,MST-71211,internal server error,log in; login; logging in; log-in; sign in; signin; logs in; logged in; cannot log; unable to log,,,,Active,
M027,[Login] Login Issue - Your account has been disabled,Login,MST-71210,your account has been disabled; account has been disabled,,,,,Active,
M028,"[Login] User can not log in - Error message: ""An error has occurred. Please try again later.""",Login,MST - 004-25,an error has occurred please try again later; an error has occurred. please try again later,log in; login; logging in; log-in; sign in; signin; logs in; logged in; cannot log; unable to log,,,,Active,
M029,"[Login] When trying to login via mobile up, loading screen appears",Login,MST-71537,loading screen; loading screen appears; stuck on loading; stuck loading,login; log in; logging in; sign in; signing in,,,,Active,
M030,[Network devices] Network devices registration/login,Network devices,MST-71542,network device registration; network devices registration; network devices login; device registration; wi-fi connectivity; wifi connectivity; connectivity issue; network device; wi-fi issue; using the ip address,,,,KB0028493,Active,
M031,[Payments - Credit Card] Autopayment not working for Credit Card Worldpay/Ingenico,Payments - Credit Card,MST-71218,autopayment not working; autopay not working; auto payment not working; worldpay; ingenico; not being deducted; automatic payments have not been processing; automatic payment not processed; not charged each month; failed autopayment; not pulling from the card; card has not been charged; auto pay is not being pulled; auto pay not being pulled; card is not pulling; autopay is not pulling; auto pay was not initiated; autopay was not initiated; did not collect the full invoice amount; apm did not collect; autopay did not collect; amount captured by the apm; delayed deduction; delayed deduction from cc; failure to processing the; automatic payment is not being processed; automatic payments had not been made; payment was not automatically deducted; not automatically deducted; automatic payments have not been made; payment is not being processed; auto-payment is not being processed; credit card auto-payment,,,,KB0028488,Active,
M032,[Payments - Credit Card] Cannot pay invoice online / Something went wrong while paying balance,Payments - Credit Card,MST-71216,cannot pay invoice; something went wrong while paying balance; unable to pay invoice; pay invoice online; unable to make payment; unable to clear outstanding; can't pay the invoices; cannot pay the invoices; unable to pay the invoices; unable to process the payment; transaction remains unsuccessful; payment failed; the customer's payment failed; trying to pay invoice; attempted to pay the outstanding invoices; pay the outstanding invoices; negative balance when paying balance; when paying balance,,,,KB0028486,Active,
M033,[Payments - Credit Card] Credit card updated via MyRegus has incorrect expiry date in Titan,Payments - Credit Card,MST-71513,incorrect expiry date; expiry date in titan; cc expiry incorrectly; wrong expiry date; system changes automatically; shown as expired; shows as expired; expired card issue; expiry date of the card,,,,KB0027517,Active,
M034,[Payments - Credit Card] Customer Portal something went wrong while booking,Payments - Credit Card,MST-71219,something went wrong while booking,,,,"KB0027649, KB0029395, KB0028486",Active,
M035,[Payments - Credit Card] Something went wrong Error when trying to add Payment Card,Payments - Credit Card,MST-71221,error when trying to add payment card; add payment card; unable to add payment card; something went wrong adding card; unable to add the card; add the card on myregus; unable to add credit card; trying to add credit card; set up the credit card; setting up the credit card; set up the cc details; attempting to upload the card; error encountered when attempting to set up the credit card; cannot add cc; unable to add cc; form to enter credit card details does not appear; online form to enter the credit card details; form to enter the credit card details did not appear; credit card form does not appear; error while adding credit card,,,,"KB0027649, KB0028486, KB0019958",Active,
M036,[Payments Registration] Issue setting up default payment method,Payments Registration,MST-71579,default payment method; setting up default payment; set up default payment; issue setting up default; default payment preference; setting up the default payment preference; default payment preference upload; unable to add or pay by credit card; unable to pay through credit card and cannot add; card type doesn't match the selection; setting up their card as the default; cannot make payment through cc cannot add cc; unable to pay through credit card and cannot add a credit card; cannot add cc; unable to add cc,,,,KB0029470,Active,
M037,[Payments Registration] Payment method is configured on Titan but not present on MyRegus and vice versa,Payments Registration,MST-70848,configured on titan but not present; configured on titan but not; not present on myregus; not present on my regus; card not visible; missing userprofileid,,,,,Active,
M038,[Retainers] Retainer issues,Retainers,MST-71510,retainer; retainer issue; retainer balance; retainer refund,,,,,Active,
M039,[SOA] Balance Mismatch,SOA,,incorrect balance; balance does not match; incorrect ending balance; balance mismatch of the account; balance mismatch between; balance mismatch in dynamics; balance mismatch in titan; account balance mismatch,,,,"KB0026224, KB0036716",Active,
M040,[XC (Product and Services)] Charged for scanned pages,XC (Product and Services),MST - 010-25,scanned pages; charged for scanning; scan charges; scanning charges,,,,,Active,
M041,[XC (Product and Services)] OOMA issues with DID,XC (Product and Services),MST-71283,ooma; ooma issues; issues with did; did number; incorrect did; wrong did; did number on profile; profile showing incorrect did; update the correct did; call answering; call answering settings; call answering configuration; premium call answering; call handling; cannot make or receive calls,,,,,Active,
M042,[XC (Product and Services)] Recurring services are charged after termination of the agreement,XC (Product and Services),MST - 011-25,charged after termination; recurring services charged; billed after termination; charged after agreement ended; no longer in recurring sales; not in recurring sales; still being billed with unlimited; billed with unlimited coffee; incorrectly billed for; still being billed even though,,,,KB0028149,Active,
M043,[XC (Product and Services)] Unable to add service on TeamHub,XC (Product and Services),MST - 006-25,unable to add service; add service on teamhub,,,,,Active,
M044,[XC (Product and Services)] Unable to edit service on TeamHub,XC (Product and Services),MST - 009-25,unable to edit service; edit service on teamhub,,,,,Active,
M045,[XC (Product and Services)] Unable to remove service from Portal,XC (Product and Services),MST-71222,unable to remove service; remove service from portal; remove unlimited,,,,,Active,
M046,[XC (Product and Services)] Unable to submit credit request on TeamHub,XC (Product and Services),MST - 007-25,credit request; submit credit request,,,,,Active,
