Sheet,Tier,Issue type,Urgency,Status
Titan,Critical Functionalities,Membership & Business Lounge Issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Titan Interface Errors,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Feed/DEM Issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Application Performance (unusable),1,FROM MAPPING v0.2
Titan,Major Functionalities,Email Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Products & Services Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Balance mismatch and SOA Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Pricing Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Centre Setup Interface Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Suspense Account Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Inventory Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Termination Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Retainer Issues,2,FROM MAPPING v0.2
Titan,Major Functionalities,Application Performance (intermmittent),2,FROM MAPPING v0.2
Titan,Minor Functionalities,Reports Request/Issues,3,FROM MAPPING v0.2
Titan,Minor Functionalities,Customer E-File,3,FROM MAPPING v0.2
Titan,Low,Consultation on functionality,4,FROM MAPPING v0.2
General,Critical Functionalities,"Invoicing, bookings or Payment issues (no workaround available)",1,FROM MAPPING v0.2
General,Critical Functionalities,Issues blocking Sales or GSC or Finance or AHD or Centre Teams or IT activities (including severe performance issues),1,FROM MAPPING v0.2
General,Critical Functionalities,Systems access issues,1,FROM MAPPING v0.2
General,Major Functionalities,"Invoicing, bookings or Payment issues (workaround available)",2,FROM MAPPING v0.2
General,Major Functionalities,Errors or issues in non-critical functionalities (none of the above),2,FROM MAPPING v0.2
General,Major Functionalities,Intermmittent performance issues,2,FROM MAPPING v0.2
General,Major Functionalities,"Feeds to 3rd parties failing (Finance, Titan systems)",2,FROM MAPPING v0.2
General,Minor Functionalities,Reporting issues,3,FROM MAPPING v0.2
General,Minor Functionalities,Visibility of documents,3,FROM MAPPING v0.2
General,Minor Functionalities,Email template issues,3,FROM MAPPING v0.2
General,Minor Functionalities,Application updates,3,FROM MAPPING v0.2
General,Minor Functionalities,Requests in general,3,FROM MAPPING v0.2
General,Minor Functionalities,Cosmetic issues,3,FROM MAPPING v0.2
General,Minor Functionalities,Customer account balance issues (Statement of Account - SoA),3,FROM MAPPING v0.2
General,Low,Consultation on functionality,4,FROM MAPPING v0.2
General,Low,Report request,4,FROM MAPPING v0.2
General,Low,New access request,4,FROM MAPPING v0.2
Finance,Critical Functionalities,Login Issues,1,FROM MAPPING v0.2
Finance,Critical Functionalities,Application availability,1,FROM MAPPING v0.2
Finance,Critical Functionalities,Function availability/useability,1,FROM MAPPING v0.2
Finance,Critical Functionalities,Application Performance (Unusable),1,FROM MAPPING v0.2
Finance,Major Functionalities,Failure of feeds to third parties,2,FROM MAPPING v0.2
Finance,Major Functionalities,GL/AR posting failure,2,FROM MAPPING v0.2
Finance,Major Functionalities,Prolonged response times,2,FROM MAPPING v0.2
Finance,Major Functionalities,Process or instance failure,2,FROM MAPPING v0.2
Finance,Major Functionalities,Issues running reports,2,FROM MAPPING v0.2
Finance,Major Functionalities,Application Performance (Inttermmitent),2,FROM MAPPING v0.2
Finance,Minor Functionalities,Intermittent failures on certain functionalities,3,FROM MAPPING v0.2
Finance,Minor Functionalities,Slightly degraded performance,3,FROM MAPPING v0.2
Finance,Minor Functionalities,Journal import error / combo error,3,FROM MAPPING v0.2
Finance,Minor Functionalities,Imbalances,3,FROM MAPPING v0.2
Finance,Minor Functionalities,Password/access issues,3,FROM MAPPING v0.2
Finance,Low,Consultation on functionality,4,FROM MAPPING v0.2
Finance,Low,Report request,4,FROM MAPPING v0.2
Finance,Low,New access,4,FROM MAPPING v0.2
